Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-04-30 - VGK 0, ARI 3",ARI,54,60,43,45,32,25,3,0,3.64,2.12,27,21,17,8,13,6,3,0,10,13,5,6,0,0,21,35,13,13,0,0,1.094
"2021-04-30 - VGK 0, ARI 3",VGK,60,54,45,43,25,32,0,3,2.12,3.64,21,27,8,17,6,13,0,3,13,10,6,5,0,0,35,21,13,13,0,0,0.906
"2021-04-30 - LA 2, ANA 1",ANA,69,46,54,35,34,25,1,2,3.63,2.36,37,25,16,7,11,6,0,2,21,18,10,12,0,0,29,18,12,7,1,0,0.949
"2021-04-30 - LA 2, ANA 1",LA,46,69,35,54,25,34,2,1,2.36,3.63,25,37,7,16,6,11,2,0,18,21,12,10,0,0,18,29,7,12,0,1,1.051
"2021-05-01 - STL 3, MIN 4",MIN,53,44,46,38,38,31,4,3,2.15,2.07,23,21,10,8,8,8,1,3,13,13,10,10,0,0,28,21,20,13,3,0,1.008
"2021-05-01 - STL 3, MIN 4",STL,44,53,38,46,31,38,3,4,2.07,2.15,21,23,8,10,8,8,3,1,13,13,10,10,0,0,21,28,13,20,0,3,0.992
"2021-05-01 - BUF 2, BOS 6",BOS,61,34,54,26,43,19,6,2,3.57,1.38,34,13,12,5,10,4,4,1,22,8,15,4,2,1,23,21,14,11,0,0,1.034
"2021-05-01 - BUF 2, BOS 6",BUF,34,61,26,54,19,43,2,6,1.38,3.57,13,34,5,12,4,10,1,4,8,22,4,15,1,2,21,23,11,14,0,0,0.966
"2021-05-01 - NYR 0, NYI 3",NYI,53,55,41,38,25,28,3,0,1.94,1.71,27,25,3,4,1,3,0,0,24,21,14,13,3,0,23,26,9,11,0,0,1.12
"2021-05-01 - NYR 0, NYI 3",NYR,55,53,38,41,28,25,0,3,1.71,1.94,25,27,4,3,3,1,0,0,21,24,13,14,0,3,26,23,11,9,0,0,0.88
