Game,GameInfo,Date_x,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,Date_y,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
"2024-01-27 - FLA 3, NYI 2","2024-01-27 - FLA, NYI",2024-01-27,FLA,3,NYI,2,Lost,2024-01-27,FLA,-140.0,1.71,0.58,0.4482849573407252,0.5517150426592746,0.47,2.15,115.0,NYI
"2024-01-27 - ANA 3, MIN 2","2024-01-27 - ANA, MIN",2024-01-27,ANA,3,MIN,2,Lost,2024-01-27,ANA,170.0,2.7,0.37,0.4496826688472851,0.550317331152715,0.68,1.48,-210.0,MIN
"2024-01-27 - CHI 0, CGY 1","2024-01-27 - CHI, CGY",2024-01-27,CHI,0,CGY,1,Won,2024-01-27,CHI,240.0,3.4,0.29,0.4634330500411884,0.5365669499588118,0.75,1.33,-300.0,CGY
"2024-01-27 - CBJ 4, VAN 5","2024-01-27 - CBJ, VAN",2024-01-27,CBJ,4,VAN,5,Won,2024-01-27,CBJ,240.0,3.4,0.29,0.4350797592310425,0.5649202407689574,0.75,1.33,-300.0,VAN
"2024-01-30 - CBJ 1, STL 0","2024-01-30 - CBJ, STL",2024-01-30,CBJ,1,STL,0,Lost,2024-01-30,CBJ,130.0,2.3,0.43,0.5,0.5,,,,STL
"2024-01-30 - SEA 0, SJ 2","2024-01-30 - SEA, SJ",2024-01-30,SEA,0,SJ,2,Won,2024-01-30,SEA,-250.0,1.4,0.71,0.5113404405273063,0.4886595594726938,0.33,3.0,200.0,SJ
"2024-01-30 - SEA 0, SJ 2","2024-01-30 - SEA, SJ",2024-01-30,SEA,0,SJ,2,Won,2024-01-30,SEA,-250.0,1.4,0.71,0.5113404405273063,0.4886595594726938,0.39,2.55,155.0,SJ
"2024-01-31 - OTT 3, DET 2","2024-01-31 - OTT, DET",2024-01-31,OTT,3,DET,2,Lost,2024-01-31,OTT,100.0,2.0,0.5,0.4931096524248509,0.5068903475751493,0.55,1.83,-120.0,DET
"2024-01-31 - LA 4, NSH 2","2024-01-31 - LA, NSH",2024-01-31,LA,4,NSH,2,Lost,2024-01-31,LA,-120.0,1.83,0.55,0.4428067791315501,0.5571932208684498,0.5,2.0,100.0,NSH
"2024-01-31 - SJ 2, ANA 3","2024-01-31 - SJ, ANA",2024-01-31,SJ,2,ANA,3,Won,2024-01-31,SJ,150.0,2.5,0.4,0.4544436973406296,0.5455563026593705,0.65,1.54,-185.0,ANA
