Game,Date_x,AwayTeam,Away Team Implied Probability,Away Probability,AwayScore,HomeTeam,Home Team Implied Probability,Home Probability,HomeScore,HomeResult,AwayBet,HomeBet,AwayBetWon,HomeBetWon,total_results,total_bets,total_return
"2023-12-30 - MTL 1, FLA 4",2023-12-30,MTL,0.33,0.4225365861339946,1,FLA,0.71,0.5774634138660055,4,Won,1,0,0.0,1.0,0.0,1,0.0
"2023-12-30 - STL 2, PIT 4",2023-12-30,STL,,0.4794240656042153,2,PIT,0.67,0.5205759343957848,4,Won,0,0,0.0,1.0,0.0,0,
"2023-12-30 - NYR 5, TB 1",2023-12-30,NYR,0.51,0.477465671021602,5,TB,0.53,0.522534328978398,1,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-30 - CAR 3, TOR 2",2023-12-30,CAR,0.56,0.4202110733905166,3,TOR,0.49,0.5797889266094832,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2023-12-30 - NSH 3, WSH 2",2023-12-30,NSH,0.52,0.4830474095295153,3,WSH,0.52,0.5169525904704848,2,Lost,0,0,1.0,0.0,0.0,0,0.0
"2023-12-30 - EDM 3, LA 2",2023-12-30,EDM,0.5,0.4297039787504536,3,LA,0.55,0.5702960212495465,2,Lost,0,1,1.0,0.0,0.0,1,0.0
"2024-01-02 - BOS 4, CBJ 1",2024-01-02,BOS,0.69,0.5284844198641624,4,CBJ,0.35,0.4715155801358376,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2024-01-02 - CAR 6, NYR 1",2024-01-02,CAR,0.48,0.4644981361246028,6,NYR,0.56,0.5355018638753972,1,Lost,0,0,1.0,0.0,0.0,0,0.0
"2024-01-02 - WSH 4, PIT 3",2024-01-02,WSH,0.4,0.4499708170524283,4,PIT,0.65,0.5500291829475717,3,Lost,1,0,1.0,0.0,1.0,1,2.5
"2024-01-02 - WSH 4, PIT 3",2024-01-02,WSH,0.43,0.4499708170524283,4,PIT,0.65,0.5500291829475717,3,Lost,1,0,1.0,0.0,1.0,1,2.3255813953488373
"2024-01-02 - MTL 4, DAL 3",2024-01-02,MTL,0.29,0.4355458522804698,4,DAL,0.75,0.5644541477195301,3,Lost,1,0,1.0,0.0,1.0,1,3.4482758620689657
"2024-01-02 - CGY 3, MIN 1",2024-01-02,CGY,0.53,0.4478968950141439,3,MIN,0.51,0.552103104985856,1,Lost,0,1,1.0,0.0,0.0,1,0.0
"2024-01-02 - CHI 0, NSH 3",2024-01-02,CHI,0.29,0.4251626951439262,0,NSH,0.75,0.5748373048560739,3,Won,1,0,0.0,1.0,0.0,1,0.0
"2024-01-02 - TB 2, WPG 4",2024-01-02,TB,0.47,0.4038476940572345,2,WPG,0.57,0.5961523059427656,4,Won,0,1,0.0,1.0,1.0,1,1.7543859649122808
